id,id_scheme,type_id,name_ru,name_yo,name_en,abbr,parent_id,admin1,lat,lon,wd,geonames,fias,oktmo,iso,status,replaced_by,source_id,source_rev,updated_at,notes
foiv:mvd,foiv,agency,Министерство внутренних дел Российской Федерации,,Ministry of Internal Affairs of the Russian Federation,МВД,,,,,Q1192838,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:mchs,foiv,agency,"Министерство Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",,,МЧС,,,,,,,,,,active,,ukase-326,2024-06-17,2026-09-09,
foiv:mid,foiv,agency,Министерство иностранных дел Российской Федерации,,Ministry of Foreign Affairs of the Russian Federation,МИД,,,,,Q789889,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:rs,foiv,agency,"Федеральное агентство по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству",,Rossotrudnichestvo,Россотрудничество,foiv:mid,,,,Q2167813,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:mod,foiv,agency,Министерство обороны Российской Федерации,,Ministry of Defense of the Russian Federation,Минобороны,,,,,Q1146492,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:fstec,foiv,agency,Федеральная служба по техническому и экспортному контролю,,Federal Service for Technical and Export Control,ФСТЭК,foiv:mod,,,,Q4481691,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:minjust,foiv,agency,Министерство юстиции Российской Федерации,,Ministry of Justice of the Russian Federation,Минюст,,,,,Q264356,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:fsin,foiv,agency,Федеральная служба исполнения наказаний,,Federal Penitentiary Service,ФСИН,foiv:minjust,,,,Q4481678,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:fssp,foiv,agency,Федеральная служба судебных приставов,,Federal Service of Court Bailiffs,ФССП,foiv:minjust,,,,Q4481699,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:gfs,foiv,agency,Государственная фельдъегерская служба Российской Федерации,,State Courier Service,ГФС,,,,,Q7603179,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:svr,foiv,agency,Служба внешней разведки Российской Федерации,,Foreign Intelligence Service,СВР,,,,,Q863254,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:fsb,foiv,agency,Федеральная служба безопасности Российской Федерации,,Federal Security Service,ФСБ,,,,,Q58792,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:rosgvardiya,foiv,agency,Федеральная служба войск национальной гвардии Российской Федерации,,National Guard of Russia,Росгвардия,,,,,Q23764150,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:fso,foiv,agency,Федеральная служба охраны Российской Федерации,,Federal Protective Service,ФСО,,,,,Q1391331,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:fsvts,foiv,agency,Федеральная служба по военно-техническому сотрудничеству,,Federal Service for Military-Technical Cooperation,ФСВТС,,,,,Q4481681,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:rosfinmonitoring,foiv,agency,Федеральная служба по финансовому мониторингу,,Rosfinmonitoring,Росфинмониторинг,,,,,Q660497,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:rosarhiv,foiv,agency,Федеральное архивное агентство,,Federal Archival Agency,Росархив,,,,,Q4481734,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:fmba,foiv,agency,Федеральное медико-биологическое агентство,,Federal Biomedical Agency,ФМБА,,,,,Q4481740,,,,,active,,ukase-326,2024-06-17,2026-09-24,подчинено Президенту Указом № 522 от 17.06.2024
foiv:gusp,foiv,agency,Главное управление специальных программ Президента Российской Федерации,,Main Directorate of Special Programs of the President of the Russian Federation,ГУСП,,,,,Q4139170,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:udp,foiv,agency,Управление делами Президента Российской Федерации,,Administrative Directorate of the President of the Russian Federation,УДП,,,,,Q4476368,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:minzdrav,foiv,agency,Министерство здравоохранения Российской Федерации,,Ministry of Healthcare of the Russian Federation,Минздрав,,,,,Q2624248,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:roszdravnadzor,foiv,agency,Федеральная служба по надзору в сфере здравоохранения,,Federal Service for Surveillance in Healthcare,Росздравнадзор,foiv:minzdrav,,,,Q4481684,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:minkultury,foiv,agency,Министерство культуры Российской Федерации,,Ministry of Culture of Russia,Минкультуры,,,,,Q2465416,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:minobrnauki,foiv,agency,Министерство науки и высшего образования Российской Федерации,,Ministry of Science and Higher Education,Минобрнауки,,,,,Q53579434,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:minprirody,foiv,agency,Министерство природных ресурсов и экологии Российской Федерации,,Ministry of Natural Resources and Environment,Минприроды,,,,,Q1961567,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:rosgidromet,foiv,agency,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,,,Росгидромет,foiv:minprirody,,,,,,,,,active,,ukase-326,2024-06-17,2026-09-09,
foiv:rpn,foiv,agency,Федеральная служба по надзору в сфере природопользования,,Federal Service for Supervision of Natural Resources,Росприроднадзор,foiv:minprirody,,,,Q16438237,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:rosvodresursy,foiv,agency,Федеральное агентство водных ресурсов,,,Росводресурсы,foiv:minprirody,,,,,,,,,active,,ukase-326,2024-06-17,2026-09-09,
foiv:rosleshoz,foiv,agency,Федеральное агентство лесного хозяйства,,Federal Agency for Forestry,Рослесхоз,foiv:minprirody,,,,Q4481709,,,,,active,,ukase-326,2024-06-17,2026-09-24,
