id,id_scheme,type_id,name_ru,name_yo,name_en,abbr,parent_id,admin1,lat,lon,wd,geonames,fias,oktmo,iso,status,replaced_by,source_id,source_rev,updated_at,notes
wd:Q41116,wikidata,agoronym,Красная площадь,,Red Square,,wd:Q649,RU-MOW,55.754167,37.620000,Q41116,6295575,,,,active,,wikidata,,2026-09-12,"пример types.csv; площадь, не улица"
wd:Q1132624,wikidata,agoronym,Дворцовая площадь,,Palace Square,,wd:Q656,RU-SPE,59.938794,30.314814,Q1132624,7668989,,,,active,,wikidata,,2026-09-12,
wd:Q2352588,wikidata,agoronym,Исаакиевская площадь,,Saint Isaac's Square,,wd:Q656,RU-SPE,59.933100,30.306800,Q2352588,,,,,active,,wikidata,,2026-09-12,
wd:Q1633670,wikidata,agoronym,Театральная площадь,,Theatre Square,,wd:Q649,RU-MOW,55.759333,37.619778,Q1633670,,,,,active,,wikidata,,2026-09-12,
wd:Q4365734,wikidata,agoronym,Площадь Революции,,"Revolution Square, Moscow",,wd:Q649,RU-MOW,55.757500,37.619697,Q4365734,,,,,active,,wikidata,,2026-09-12,Москва; не станция метро
wd:Q4221623,wikidata,agoronym,Кировская площадь,,Kirov Square,,wd:Q656,RU-SPE,59.896067,30.277439,Q4221623,,,,,active,,wikidata,,2026-09-15,
wd:Q19907405,wikidata,agoronym,Ржевская площадь,,Rzhevskaya Square,,wd:Q656,RU-SPE,59.980938,30.509904,Q19907405,,,,,active,,wikidata,,2026-09-15,
wd:Q28667801,wikidata,agoronym,Площадь Европы,,Bellinsgauzen Square,,wd:Q656,RU-SPE,59.93777778,30.21055556,Q28667801,,,,,active,,wikidata,,2026-09-15,
wd:Q4133025,wikidata,agoronym,Гамбургская площадь,,Hamburg Square,,wd:Q656,RU-SPE,59.86556,30.41528,Q4133025,,,,,active,,wikidata,,2026-09-15,
wd:Q4309624,wikidata,agoronym,Мытнинская площадь,,Mytninskaya Square,,wd:Q656,RU-SPE,59.95083333,30.30361111,Q4309624,,,,,active,,wikidata,,2026-09-15,
wd:Q4230182,wikidata,agoronym,Комсомольская площадь,,Komsomol square,,wd:Q656,RU-SPE,59.8764,30.2575,Q4230182,,,,,active,,wikidata,,2026-09-15,
wd:Q2618925,wikidata,agoronym,Синий мост,,Blue Bridge,,wd:Q656,RU-SPE,59.93166667,30.30888889,Q2618925,,,,,active,,wikidata,,2026-09-15,
wd:Q19618930,wikidata,agoronym,Площадь Академика Лихачева,Площадь Академика Лихачёва,Academician Likhachev Square,,wd:Q656,RU-SPE,59.948238,30.30348,Q19618930,,,,,active,,wikidata,,2026-09-15,
wd:Q4361176,wikidata,agoronym,Петровская площадь (Санкт-Петербург),,Petrovskaia Square,,wd:Q656,RU-SPE,59.96222,30.25333,Q4361176,,,,,active,,wikidata,,2026-09-15,
wd:Q4330111,wikidata,agoronym,Обуховская площадь,,Obukhovskaya square,,wd:Q656,RU-SPE,59.92222222,30.31777778,Q4330111,,,,,active,,wikidata,,2026-09-15,
wd:Q4365501,wikidata,agoronym,Площадь Балтийских Юнг,,Baltyskih Iung Square,,wd:Q656,RU-SPE,59.951478,30.245767,Q4365501,,,,,active,,wikidata,,2026-09-15,
wd:Q4365781,wikidata,agoronym,Площадь Советов (Улан-Удэ),,"Square of Soviets, Ulan-Ude",,,,,,Q4365781,,,,,active,,wikidata,,2026-09-24,
