id,id_scheme,type_id,name_ru,name_yo,name_en,abbr,parent_id,admin1,lat,lon,wd,geonames,fias,oktmo,iso,status,replaced_by,source_id,source_rev,updated_at,notes
wd:Q58767,wikidata,dromonym,Транссибирская магистраль,,Trans-Siberian railway,Транссиб,iso:RU-AD,RU-AD,,,Q58767,,,,,active,,wikidata,,2026-09-12,"пример types.csv; железная дорога, не ГАР"
wd:Q24971,wikidata,dromonym,М11 «Нева»,,M11 Neva Federal Highway,М-11,,,57.993714,33.790008,Q24971,,,,,active,,wikidata,,2026-09-12,пример types.csv; Москва — Санкт-Петербург
wd:Q1635333,wikidata,dromonym,М-4 «Дон»,,M4 Don Federal Highway,М-4,,,,,Q1635333,,,,,active,,wikidata,,2026-09-12,
wd:Q1365529,wikidata,dromonym,Р256 «Чуйский тракт»,,R256 Chuysky Trakt Federal Highway,Р256,iso:RU-AL,RU-AL,,,Q1365529,,,,,active,,wikidata,,2026-09-12,
wd:Q377967,wikidata,dromonym,Байкало-Амурская магистраль,,Baikal-Amur Mainline,БАМ,iso:RU-AMU,RU-AMU,,,Q377967,,,,,active,,wikidata,,2026-09-12,
wd:Q590408,wikidata,dromonym,Кольцевая автомобильная дорога вокруг Санкт-Петербурга,,A118 Saint Petersburg Ring Road,КАД,wd:Q656,RU-SPE,60.038791,29.973082,Q590408,,,,,active,,wikidata,,2026-09-12,
wd:Q2535163,wikidata,dromonym,Европейский маршрут E119,,European route E119,,iso:RU-AD,RU-AD,,,Q2535163,,,,,active,,wikidata,,2026-09-15,
wd:Q3444696,wikidata,dromonym,Европейский маршрут E93,,European route E93,,iso:RU-AD,RU-AD,,,Q3444696,,,,,active,,wikidata,,2026-09-15,
wd:Q53828736,wikidata,dromonym,Европейский маршрут E591,,European route E591,,iso:RU-AD,RU-AD,,,Q53828736,,,,,active,,wikidata,,2026-09-15,
wd:Q3505559,wikidata,dromonym,Бабиновская дорога,,Babinov Road,,iso:RU-AD,RU-AD,,,Q3505559,,,,,active,,wikidata,,2026-09-15,
wd:Q2591325,wikidata,dromonym,Амурская колесная дорога,Амурская колёсная дорога,Amur Cart Road,,iso:RU-AD,RU-AD,,,Q2591325,,,,,active,,wikidata,,2026-09-15,
wd:Q4056212,wikidata,dromonym,Автодорога Киров — Котлас — Архангельск,,Kirov - Kotlas - Arkhangelsk road,,iso:RU-AD,RU-AD,,,Q4056212,,,,,active,,wikidata,,2026-09-15,
wd:Q2575132,wikidata,dromonym,Европейский маршрут E381,,European route E381,,iso:RU-AD,RU-AD,,,Q2575132,,,,,active,,wikidata,,2026-09-15,
wd:Q4056216,wikidata,dromonym,Симферополь — Евпатория,,35K-004 road,,iso:RU-AD,RU-AD,,,Q4056216,,,,,active,,wikidata,,2026-09-15,
wd:Q4114393,wikidata,dromonym,Военно-Ахтынская дорога,,,,iso:RU-AD,RU-AD,,,Q4114393,,,,,active,,wikidata,,2026-09-15,
wd:Q4092937,wikidata,dromonym,Большой Черкасский тракт,,,,iso:RU-AD,RU-AD,,,Q4092937,,,,,active,,wikidata,,2026-09-15,
wd:Q2753896,wikidata,dromonym,Азиатский маршрут AH4,,AH4,,iso:RU-AD,RU-AD,,,Q2753896,,,,,active,,wikidata,,2026-09-15,
wd:Q2813842,wikidata,dromonym,Азиатский маршрут AH8,,AH8,,iso:RU-AD,RU-AD,,,Q2813842,,,,,active,,wikidata,,2026-09-15,
wd:Q48948156,wikidata,dromonym,Челябинский тракт,,,,iso:RU-AD,RU-AD,,,Q48948156,,,,,active,,wikidata,,2026-09-15,
wd:Q4075551,wikidata,dromonym,Байкальский тракт,,Baykalskiy trakt,,iso:RU-AD,RU-AD,,,Q4075551,,,,,active,,wikidata,,2026-09-15,
wd:Q2625376,wikidata,dromonym,Европейский маршрут E125,,European route E125,,iso:RU-AD,RU-AD,,,Q2625376,,,,,active,,wikidata,,2026-09-15,
wd:Q4238290,wikidata,dromonym,Красноармейское шоссе,,,,iso:RU-AD,RU-AD,,,Q4238290,,,,,active,,wikidata,,2026-09-15,
wd:Q4262465,wikidata,dromonym,Липецкая кольцевая автомобильная дорога,,Lipetsk ring road,,iso:RU-AD,RU-AD,,,Q4262465,,,,,active,,wikidata,,2026-09-15,
wd:Q2465523,wikidata,dromonym,Северная широтная магистраль,,,,iso:RU-AD,RU-AD,,,Q2465523,,,,,active,,wikidata,,2026-09-15,
wd:Q2283567,wikidata,dromonym,Европейский маршрут E101,,European route E101,,iso:RU-AD,RU-AD,,,Q2283567,,,,,active,,wikidata,,2026-09-15,
wd:Q2387562,wikidata,dromonym,Владимирский тракт,,Vladimir Highway,,iso:RU-AD,RU-AD,,,Q2387562,,,,,active,,wikidata,,2026-09-15,
wd:Q2164023,wikidata,dromonym,Транскавказская автомагистраль,,Transcaucasian Highway,,iso:RU-AD,RU-AD,42.6137997,44.1029021,Q2164023,,,,,active,,wikidata,,2026-09-15,
