id,id_scheme,type_id,name_ru,name_yo,name_en,abbr,parent_id,admin1,lat,lon,wd,geonames,fias,oktmo,iso,status,replaced_by,source_id,source_rev,updated_at,notes
wd:Q626,wikidata,potamonym,Волга,,Volga,,,,,,Q626,472776,,,,active,,wikidata,,2026-09-09,
wd:Q973,wikidata,potamonym,Обь,,Ob,,,,,,Q973,,,,,active,,wikidata,,2026-09-09,
wd:Q78707,wikidata,potamonym,Енисей,,Yenisey,,,,,,Q78707,,,,,active,,wikidata,,2026-09-09,
wd:Q46841,wikidata,potamonym,Лена,,Lena,,,,,,Q46841,,,,,active,,wikidata,,2026-09-09,
wd:Q6862,wikidata,potamonym,Амур,,Amur,,,,,,Q6862,,,,,active,,wikidata,,2026-09-09,
wd:Q128102,wikidata,potamonym,Иртыш,,Irtysh,,,,,,Q128102,,,,,active,,wikidata,,2026-09-09,
wd:Q1229,wikidata,potamonym,Дон,,Don,,,,,,Q1229,,,,,active,,wikidata,,2026-09-09,
wd:Q79082,wikidata,potamonym,Кама,,Kama,,,,,,Q79082,,,,,active,,wikidata,,2026-09-09,
wd:Q172089,wikidata,potamonym,Ока,,Oka,,,,,,Q172089,,,,,active,,wikidata,,2026-09-09,
wd:Q162737,wikidata,potamonym,Ангара,,Angara,,,,,,Q162737,,,,,active,,wikidata,,2026-09-09,
wd:Q8168,wikidata,potamonym,Печора,,Pechora,,,,,,Q8168,,,,,active,,wikidata,,2026-09-09,
wd:Q8187,wikidata,potamonym,Северная Двина,,Northern Dvina,,,,,,Q8187,,,,,active,,wikidata,,2026-09-09,
wd:Q82308,wikidata,potamonym,Кубань,,Kuban,,,,,,Q82308,,,,,active,,wikidata,,2026-09-09,
wd:Q82776,wikidata,potamonym,Терек,,Terek,,,,,,Q82776,,,,,active,,wikidata,,2026-09-09,
wd:Q80240,wikidata,potamonym,Урал,,Ural,,,,,,Q80240,,,,,active,,wikidata,,2026-09-09,река Урал
wd:Q645,wikidata,potamonym,Нева,,Neva,,,,,,Q645,,,,,active,,wikidata,,2026-09-09,
wd:Q175117,wikidata,potamonym,Москва,,Moskva,,,,,,Q175117,,,,,active,,wikidata,,2026-09-09,река Москва
wd:Q78879,wikidata,potamonym,Колыма,,Kolyma,,,,,,Q78879,,,,,active,,wikidata,,2026-09-09,
wd:Q82207,wikidata,potamonym,Индигирка,,Indigirka,,,,,,Q82207,,,,,active,,wikidata,,2026-09-09,
wd:Q78861,wikidata,potamonym,Яна,,Yana,,,,,,Q78861,,,,,active,,wikidata,,2026-09-09,
wd:Q210220,wikidata,potamonym,Зея,,Zeya,,,,,,Q210220,,,,,active,,wikidata,,2026-09-09,
wd:Q216188,wikidata,potamonym,Томь,,Tom,,,,,,Q216188,,,,,active,,wikidata,,2026-09-09,
wd:Q192157,wikidata,potamonym,Белая,,Belaya,,,,,,Q192157,,,,,active,,wikidata,,2026-09-09,Агидель; приток Камы
wd:Q192495,wikidata,potamonym,Вятка,,Vyatka,,,,,,Q192495,,,,,active,,wikidata,,2026-09-09,
wd:Q191832,wikidata,potamonym,Алдан,,Aldan,,,,,,Q191832,,,,,active,,wikidata,,2026-09-09,
