id,id_scheme,type_id,name_ru,name_yo,name_en,abbr,parent_id,admin1,lat,lon,wd,geonames,fias,oktmo,iso,status,replaced_by,source_id,source_rev,updated_at,notes
wd:Q27577214,wikidata,municipality,городской округ Самара,,Samara Urban Okrug,,iso:RU-SAM,RU-SAM,53.183,50.117,Q27577214,,,36701000,,active,,wikidata,,2026-09-11,пример types.csv; ойконим города wd:Q894
local:mun:kazan-go,local,municipality,городской округ Казань,,Kazan Urban Okrug,,iso:RU-TA,RU-TA,55.75,49.13333333,Q37804163,862913,,92701000,,active,,wikidata,,2026-09-11,муниципальное образование города Казань; ойконим wd:Q900
wd:Q4144855,wikidata,municipality,"Городской округ ""Город Оренбург""",,Orenburg Urban District,,iso:RU-ORE,RU-ORE,51.76666667,55.1,Q4144855,,,53701000,,active,,wikidata,,2026-09-12,муниципальное образование города Оренбург; ойконим wd:Q5337
wd:Q4307474,wikidata,municipality,город Екатеринбург,,Yekaterinburg Municipality,,iso:RU-SVE,RU-SVE,,,Q4307474,,,65701000,,active,,wikidata,,2026-09-12,муниципальное образование города Екатеринбург; ойконим wd:Q887
wd:Q27566164,wikidata,municipality,Кемеровский городской округ,,Kemerovo Urban Okrug,,iso:RU-KEM,RU-KEM,,,Q27566164,,,32701000,,active,,wikidata,,2026-09-12,муниципальное образование города Кемерово; ойконим wd:Q6066
wd:Q27532708,wikidata,municipality,Городской округ город Астрахань,,Astrakhan Urban Okrug,,iso:RU-AST,RU-AST,46.36666667,48.08333333,Q27532708,824964,,12701000,,active,,wikidata,,2026-09-12,муниципальное образование города Астрахань; ойконим wd:Q3927
wd:Q27566173,wikidata,municipality,Новокузнецкий городской округ,,Novokuznetsk Urban Okrug,,iso:RU-KEM,RU-KEM,,,Q27566173,,,32731000,,active,,wikidata,,2026-09-12,муниципальное образование города Новокузнецк; ойконим wd:Q93910
wd:Q27477627,wikidata,municipality,Городской округ Жуковский,,Zhukovsky Urban Okrug,,iso:RU-MOS,RU-MOS,,,Q27477627,,,46725000,,active,,wikidata,,2026-09-12,муниципальное образование города Жуковский; ойконим wd:Q136435
wd:Q3085607,wikidata,municipality,Муниципальное образование город-курорт Сочи,,Resort Town of Sochi,,iso:RU-KDA,RU-KDA,43.58527779,39.72027779,Q3085607,6695246,,03726000,,active,,wikidata,,2026-09-12,муниципальное образование города Сочи; ойконим wd:Q39420
wd:Q27551718,wikidata,municipality,Городской округ «город Иркутск»,,Irkutsk Urban Okrug,,iso:RU-IRK,RU-IRK,,,Q27551718,,,25701000,,active,,wikidata,,2026-09-12,муниципальное образование города Иркутск; ойконим wd:Q6576
wd:Q15190285,wikidata,municipality,Городской округ город Уфа,,Ufa Urban Okrug,,iso:RU-BA,RU-BA,54.73333333,55.96666667,Q15190285,,,80701000,,active,,wikidata,,2026-09-12,муниципальное образование города Уфа; ойконим wd:Q911
wd:Q24636058,wikidata,municipality,Городской округ город Томск,,Tomsk Urban Okrug,,iso:RU-TOM,RU-TOM,56.48889,84.95167,Q24636058,,,69701000,,active,,wikidata,,2026-09-12,муниципальное образование города Томск; ойконим wd:Q976
wd:Q19908746,wikidata,municipality,город Волгоград,,Volgograd Urban Okrug,,iso:RU-VGG,RU-VGG,48.69916667,44.47333333,Q19908746,,,18701000,,active,,wikidata,,2026-09-12,муниципальное образование города Волгоград; ойконим wd:Q914
wd:Q23898959,wikidata,municipality,Город Нижний Новгород,,Nizhny Novgorod Urban Okrug,,iso:RU-NIZ,RU-NIZ,56.256833,43.932522,Q23898959,,,22701000,,active,,wikidata,,2026-09-12,муниципальное образование города Нижний Новгород; ойконим wd:Q891
wd:Q27538353,wikidata,municipality,город Воронеж,,Voronezh Urban Okrug,,iso:RU-VOR,RU-VOR,,,Q27538353,,,20701000,,active,,wikidata,,2026-09-12,муниципальное образование города Воронеж; ойконим wd:Q3426
wd:Q18405934,wikidata,municipality,Городской округ город Красноярск,,krai city of Krasnoyarsk,,iso:RU-KYA,RU-KYA,,,Q18405934,,,04701000,,active,,wikidata,,2026-09-12,муниципальное образование города Красноярск; ойконим wd:Q919
wd:Q27577216,wikidata,municipality,Городской округ Тольятти,,Tolyatti Urban Okrug,,iso:RU-SAM,RU-SAM,,,Q27577216,,,36740000,,active,,wikidata,,2026-09-12,муниципальное образование города Тольятти; ойконим wd:Q1341
wd:Q37804109,wikidata,municipality,город Барнаул,,Barnaul Urban District,,iso:RU-ALT,RU-ALT,53.34694444,83.77694444,Q37804109,1535931,,01701000,,active,,wikidata,,2026-09-12,муниципальное образование города Барнаул; ойконим wd:Q6014
wd:Q4307501,wikidata,municipality,муниципальное образование город Краснодар,,Krasnodar Municipality,,iso:RU-KDA,RU-KDA,45.03333333,38.98333333,Q4307501,,,03701000,,active,,wikidata,,2026-09-12,муниципальное образование города Краснодар; ойконим wd:Q3646
wd:Q846254,wikidata,municipality,Городской округ Домодедово,,Domodedovsky District,,iso:RU-MOS,RU-MOS,55.43333333,37.75,Q846254,565379,,46709000,,active,,wikidata,,2026-09-12,муниципальное образование города Домодедово; ойконим wd:Q135410
wd:Q27517125,wikidata,municipality,Городской округ город Хабаровск,,Khabarovsk Urban Okrug,,iso:RU-KHA,RU-KHA,,,Q27517125,,,08701000,,active,,wikidata,,2026-09-12,муниципальное образование города Хабаровск; ойконим wd:Q4454
wd:Q21644760,wikidata,municipality,Городской округ Тюмень,,Tyumen Urban Okrug,,iso:RU-TYU,RU-TYU,57.15112,65.532815,Q21644760,,,71701000,,active,,wikidata,,2026-09-12,муниципальное образование города Тюмень; ойконим wd:Q5815
wd:Q4112963,wikidata,municipality,Владивостокский городской округ,,Vladivostoksky Urban Okrug,,iso:RU-PRI,RU-PRI,43.13477778,131.84878889,Q4112963,,,05701000,,active,,wikidata,,2026-09-12,муниципальное образование города Владивосток; ойконим wd:Q959
wd:Q27477634,wikidata,municipality,Городской округ Королев,Городской округ Королёв,Korolyov Urban Okrug,,iso:RU-MOS,RU-MOS,,,Q27477634,,,46734000,,active,,wikidata,,2026-09-12,муниципальное образование города Королёв; ойконим wd:Q155309
wd:Q2710135,wikidata,municipality,Городской округ Мытищи,,Mytishchinsky District,,iso:RU-MOS,RU-MOS,55.91666667,37.76666667,Q2710135,523810,,46746000,,active,,wikidata,,2026-09-12,муниципальное образование города Мытищи; ойконим wd:Q23185
wd:Q2624366,wikidata,municipality,Щелково (городской округ),Щёлково (городской округ),Shchyolkovo Urban District,,iso:RU-MOS,RU-MOS,55.91694444,37.98111111,Q2624366,495337,,46788000,,active,,wikidata,,2026-09-12,муниципальное образование города Щёлково; ойконим wd:Q198369
wd:Q4145649,wikidata,municipality,муниципальный округ Нижний Тагил,,Nizhny Tagil Urban Okrug,,iso:RU-SVE,RU-SVE,57.91666667,59.96666667,Q4145649,,,65751000,,active,,wikidata,,2026-09-12,муниципальное образование города Нижний Тагил
wd:Q126913048,wikidata,municipality,Городской округ город Кунгур,,,,iso:RU-AD,RU-AD,,,Q126913048,,,,,active,,wikidata,,2026-09-14,
wd:Q126913083,wikidata,municipality,Городской округ город Соликамск,,,,iso:RU-AD,RU-AD,,,Q126913083,,,,,active,,wikidata,,2026-09-14,
wd:Q126913104,wikidata,municipality,Поселок Звездный,Посёлок Звёздный,,,iso:RU-AD,RU-AD,,,Q126913104,,,,,active,,wikidata,,2026-09-14,
wd:Q126913568,wikidata,municipality,Кудымкарский городской округ,,,,iso:RU-AD,RU-AD,,,Q126913568,,,,,active,,wikidata,,2026-09-14,
wd:Q126909445,wikidata,municipality,Оханский городской округ,,,,iso:RU-AD,RU-AD,,,Q126909445,,,,,active,,wikidata,,2026-09-14,
wd:Q127587217,wikidata,municipality,городской округ город Псков,,Pskov Urban Okrug,,iso:RU-AD,RU-AD,,,Q127587217,,,,,active,,wikidata,,2026-09-14,
wd:Q127621760,wikidata,municipality,Городской округ город Батайск,,,,iso:RU-AD,RU-AD,,,Q127621760,,,,,active,,wikidata,,2026-09-14,
wd:Q127621807,wikidata,municipality,городской округ город Волгодонск,,,,iso:RU-AD,RU-AD,,,Q127621807,,,,,active,,wikidata,,2026-09-14,
wd:Q127621847,wikidata,municipality,городской округ город Гуково,,,,iso:RU-AD,RU-AD,,,Q127621847,,,,,active,,wikidata,,2026-09-14,
wd:Q126902308,wikidata,municipality,Городской округ город Мценск,,,,iso:RU-AD,RU-AD,,,Q126902308,,,,,active,,wikidata,,2026-09-14,
wd:Q127428875,wikidata,municipality,Городской округ город Кузнецк,,,,iso:RU-AD,RU-AD,,,Q127428875,,,,,active,,wikidata,,2026-09-14,
wd:Q127428872,wikidata,municipality,Городской округ город Пенза,,,,iso:RU-AD,RU-AD,,,Q127428872,,,,,active,,wikidata,,2026-09-14,
wd:Q127428876,wikidata,municipality,Городской округ ЗАТО город Заречный,,,,iso:RU-AD,RU-AD,,,Q127428876,,,,,active,,wikidata,,2026-09-14,
wd:Q127684585,wikidata,municipality,городской округ город Рязань,,,,iso:RU-AD,RU-AD,,,Q127684585,,,,,active,,wikidata,,2026-09-14,
wd:Q127684591,wikidata,municipality,городской округ город Сасово,,,,iso:RU-AD,RU-AD,,,Q127684591,,,,,active,,wikidata,,2026-09-14,
wd:Q127684589,wikidata,municipality,городской округ город Касимов,,,,iso:RU-AD,RU-AD,,,Q127684589,,,,,active,,wikidata,,2026-09-14,
wd:Q127622048,wikidata,municipality,городской округ Новошахтинск,,,,iso:RU-AD,RU-AD,,,Q127622048,,,,,active,,wikidata,,2026-09-14,
wd:Q127959005,wikidata,municipality,городской округ город Смоленск,,,,iso:RU-AD,RU-AD,,,Q127959005,,,,,active,,wikidata,,2026-09-14,
wd:Q127621962,wikidata,municipality,городской округ город Каменск-Шахтинский,,,,iso:RU-AD,RU-AD,,,Q127621962,,,,,active,,wikidata,,2026-09-14,
wd:Q127622002,wikidata,municipality,городской округ город Новочеркасск,,,,iso:RU-AD,RU-AD,,,Q127622002,,,,,active,,wikidata,,2026-09-14,
wd:Q127622138,wikidata,municipality,городской округ город Шахты,,,,iso:RU-AD,RU-AD,,,Q127622138,,,,,active,,wikidata,,2026-09-14,
