id,id_scheme,type_id,name_ru,name_yo,name_en,abbr,parent_id,admin1,lat,lon,wd,geonames,fias,oktmo,iso,status,replaced_by,source_id,source_rev,updated_at,notes
iso:RU-AD,iso3166-2,subject,Республика Адыгея,,Republic of Adygea,RU-AD,fo:ufo,RU-AD,44.65,40,Q3734,584222,,79000000,RU-AD,active,,wikidata,,2026-09-25,
iso:RU-AL,iso3166-2,subject,Республика Алтай,,Altai Republic,RU-AL,fo:sfo,RU-AL,50.85,86.9,Q5971,1506272,,84000000,RU-AL,active,,wikidata,,2026-09-25,
iso:RU-BA,iso3166-2,subject,Республика Башкортостан,,Republic of Bashkortostan,RU-BA,fo:pfo,RU-BA,54.46666667,56.26666667,Q5710,578853,,80000000,RU-BA,active,,wikidata,,2026-09-25,
iso:RU-BU,iso3166-2,subject,Республика Бурятия,,Republic of Buryatia,RU-BU,fo:dfo,RU-BU,53.8,109.33333333,Q6809,2050915,,81000000,RU-BU,active,,wikidata,,2026-09-25,
iso:RU-DA,iso3166-2,subject,Республика Дагестан,,Republic of Dagestan,RU-DA,fo:skfo,RU-DA,42.98388889,47.505,Q5118,567293,,82000000,RU-DA,active,,wikidata,,2026-09-25,
iso:RU-IN,iso3166-2,subject,Республика Ингушетия,,Republic of Ingushetia,RU-IN,fo:skfo,RU-IN,43.2,45,Q5219,556349,,26000000,RU-IN,active,,wikidata,,2026-09-25,
iso:RU-KB,iso3166-2,subject,Кабардино-Балкарская Республика,,Kabardino-Balkarian Republic,RU-KB,fo:skfo,RU-KB,43.58333333,43.4,Q5267,554667,,83000000,RU-KB,active,,wikidata,,2026-09-25,
iso:RU-KL,iso3166-2,subject,Республика Калмыкия,,Republic of Kalmykia,RU-KL,fo:ufo,RU-KL,46.56666667,45.31666667,Q3953,553972,,85000000,RU-KL,active,,wikidata,,2026-09-25,
iso:RU-KC,iso3166-2,subject,Карачаево-Черкесская Республика,,Karachay-Cherkess Republic,RU-KC,fo:skfo,RU-KC,43.91666667,41.78333333,Q5328,552927,,91000000,RU-KC,active,,wikidata,,2026-09-25,
iso:RU-KR,iso3166-2,subject,Республика Карелия,,Republic of Karelia,RU-KR,fo:szfo,RU-KR,63.81666667,33,Q1914,552548,,86000000,RU-KR,active,,wikidata,,2026-09-25,
iso:RU-KO,iso3166-2,subject,Республика Коми,,Komi Republic,RU-KO,fo:szfo,RU-KO,64.28333333,54.46666667,Q2073,545854,,87000000,RU-KO,active,,wikidata,,2026-09-25,
iso:RU-ME,iso3166-2,subject,Республика Марий Эл,,Mari El Republic,RU-ME,fo:pfo,RU-ME,56.7,47.86666667,Q5446,529352,,88000000,RU-ME,active,,wikidata,,2026-09-25,
iso:RU-MO,iso3166-2,subject,Республика Мордовия,,Republic of Mordovia,RU-MO,fo:pfo,RU-MO,54.43333333,44.45,Q5340,525369,,89000000,RU-MO,active,,wikidata,,2026-09-25,
iso:RU-SA,iso3166-2,subject,Республика Саха (Якутия),,Sakha (Yakutia) Republic,RU-SA,fo:dfo,RU-SA,66.4,129.16666667,Q6605,2013162,,98000000,RU-SA,active,,wikidata,,2026-09-25,
iso:RU-SE,iso3166-2,subject,Республика Северная Осетия — Алания,,Republic of North Ossetia–Alania,RU-SE,fo:skfo,RU-SE,43.18333333,44.23333333,Q5237,519969,,90000000,RU-SE,active,,wikidata,,2026-09-25,
iso:RU-TA,iso3166-2,subject,Республика Татарстан,,Republic of Tatarstan,RU-TA,fo:pfo,RU-TA,55.55,50.93333333,Q5481,484048,,92000000,RU-TA,active,,wikidata,,2026-09-25,
iso:RU-TY,iso3166-2,subject,Республика Тыва,,Tyva Republic,RU-TY,fo:sfo,RU-TY,51.78333333,94.75,Q960,1488873,,93000000,RU-TY,active,,wikidata,,2026-09-25,
iso:RU-UD,iso3166-2,subject,Удмуртская Республика,,Udmurt Republic,RU-UD,fo:pfo,RU-UD,57.28333333,52.75,Q5422,479613,,94000000,RU-UD,active,,wikidata,,2026-09-25,
iso:RU-KK,iso3166-2,subject,Республика Хакасия,,Republic of Khakassia,RU-KK,fo:sfo,RU-KK,53.5,90,Q6543,1503834,,95000000,RU-KK,active,,wikidata,,2026-09-25,
iso:RU-CE,iso3166-2,subject,Чеченская Республика,,Chechen Republic,RU-CE,fo:skfo,RU-CE,43.4,45.71669444,Q5187,569665,,96000000,RU-CE,active,,wikidata,,2026-09-25,
iso:RU-CU,iso3166-2,subject,Чувашская Республика,,Chuvash Republic,RU-CU,fo:pfo,RU-CU,55.459444,47.096111,Q5466,567395,,97000000,RU-CU,active,,wikidata,,2026-09-25,
iso:RU-ALT,iso3166-2,subject,Алтайский край,,Altai Krai,RU-ALT,fo:sfo,RU-ALT,52.76666667,82.61666667,Q5942,1511732,,01000000,RU-ALT,active,,wikidata,,2026-09-25,
iso:RU-ZAB,iso3166-2,subject,Забайкальский край,,Zabaykalsky Krai,RU-ZAB,fo:dfo,RU-ZAB,54,118,Q6838,7779061,,76000000,RU-ZAB,active,,wikidata,,2026-09-25,
iso:RU-KAM,iso3166-2,subject,Камчатский край,,Kamchatka Krai,RU-KAM,fo:dfo,RU-KAM,56,159,Q7948,2125072,,30000000,RU-KAM,active,,wikidata,,2026-09-25,
iso:RU-KDA,iso3166-2,subject,Краснодарский край,,Krasnodar Krai,RU-KDA,fo:ufo,RU-KDA,45.36666667,39.43333333,Q3680,542415,,03000000,RU-KDA,active,,wikidata,,2026-09-25,
iso:RU-KYA,iso3166-2,subject,Красноярский край,,Krasnoyarsk Krai,RU-KYA,fo:sfo,RU-KYA,59.88333333,91.66666667,Q6563,1502020,,04000000,RU-KYA,active,,wikidata,,2026-09-25,
