id,id_scheme,type_id,name_ru,name_yo,name_en,abbr,parent_id,admin1,lat,lon,wd,geonames,fias,oktmo,iso,status,replaced_by,source_id,source_rev,updated_at,notes
wd:Q894049,wikidata,village,Бородино,,Borodino,,iso:RU-MOS,RU-MOS,55.526944,35.821111,Q894049,572278,,,,active,,wikidata,,2026-09-12,"пример types.csv; деревня, Можайский округ; не город Бородино"
wd:Q2637584,wikidata,village,Вешенская,Вёшенская,Vyoshenskaya,,iso:RU-ROS,RU-ROS,49.627222,41.726111,Q2637584,473998,,,,active,,wikidata,,2026-09-12,"станица, Шолоховский район"
wd:Q681521,wikidata,village,Холмогоры,,Kholmogory,,iso:RU-ARK,RU-ARK,64.225000,41.650000,Q681521,549748,,,,active,,wikidata,,2026-09-12,село
wd:Q4231436,wikidata,village,Константиново,,Konstantinovo,,iso:RU-RYA,RU-RYA,54.864722,39.600556,Q4231436,545288,,,,active,,wikidata,,2026-09-12,"село, Рыбновский район"
wd:Q4333102,wikidata,village,Октябрьский,,,,iso:RU-AL,RU-AL,54.99166667,61.475,Q4333102,,,,,active,,wikidata,,2026-09-15,
wd:Q4239557,wikidata,village,Красный Октябрь,,Krasnyy Oktyabr',,iso:RU-AL,RU-AL,56.11666667,38.88333333,Q4239557,541549,,,,active,,wikidata,,2026-09-15,
wd:Q16690980,wikidata,village,Районы Сочи,,Greater Sochi administrative division,,iso:RU-AL,RU-AL,,,Q16690980,,,,,active,,wikidata,,2026-09-15,
wd:Q4361141,wikidata,village,Петровск-Кавказский,,,,iso:RU-AL,RU-AL,43.000745,47.467117,Q4361141,,,,,active,,wikidata,,2026-09-15,
wd:Q4189828,wikidata,village,Звездный,Звёздный,Zvyozdny,,iso:RU-PER,RU-PER,57.73436,56.31255,Q4189828,831140,,57763000051,,active,,wikidata,,2026-09-15,
wd:Q13648896,wikidata,village,Стадухино,,,,iso:RU-AL,RU-AL,67.60277778,167.4,Q13648896,,,,,active,,wikidata,,2026-09-15,
wd:Q753344,wikidata,village,Атамановка,,"Atamanovka, Zabaykalsky Krai",,iso:RU-ZAB,RU-ZAB,51.93333333,113.63333333,Q753344,2027373,,76650154051,,active,,wikidata,,2026-09-15,
wd:Q1020017,wikidata,village,ЗАТО Горный,,Gorny,,iso:RU-ZAB,RU-ZAB,51.55,113.03333333,Q1020017,,,76785000051,,active,,wikidata,,2026-09-15,
wd:Q1013438,wikidata,village,Печенга,,Pechenga,,iso:RU-MUR,RU-MUR,69.55388889,31.22666667,Q1013438,511865,,47615162051,,active,,wikidata,,2026-09-15,
wd:Q1400436,wikidata,village,Ярега,,Yarega,,iso:RU-KO,RU-KO,63.43555556,53.57638889,Q1400436,468991,,87725000071,,active,,wikidata,,2026-09-15,
wd:Q4152154,wikidata,village,Гундоровский,,Gundorovsky,,iso:RU-ROS,RU-ROS,48.34644444,40.02077778,Q4152154,,,,,active,,wikidata,,2026-09-15,
wd:Q868484,wikidata,village,Озерный,Озёрный,"Ozyorny, Tver Oblast",,iso:RU-TVE,RU-TVE,57.86083333,33.67555556,Q868484,831208,,28753000051,,active,,wikidata,,2026-09-15,
wd:Q1970644,wikidata,village,Солнечный,,"Solnechny, Tver Oblast",,iso:RU-TVE,RU-TVE,57.2,33.05,Q1970644,,,28756000051,,active,,wikidata,,2026-09-15,
wd:Q4417084,wikidata,village,Сергиевское,,Sergiyevskoye,,wd:Q4417086,RU-AD,44.80111111,40.34861111,Q4417084,,,79605420101,,active,,wikidata,,2026-09-15,
wd:Q61104676,wikidata,village,Шахан,,Shakhan,,wd:Q741173,RU-AD,,,Q61104676,,,,,active,,wikidata,,2026-09-15,
wd:Q4314224,wikidata,village,Натырбово,,Natyrbovo,,wd:Q4314225,RU-AD,44.73,40.62638889,Q4314224,523269,,79615430101,,active,,wikidata,,2026-09-15,
wd:Q4113234,wikidata,village,Владимировское,,Vladimirovskoye,,wd:Q4219079,RU-AD,44.75166667,40.1925,Q4113234,,,79605415111,,active,,wikidata,,2026-09-15,
wd:Q4174709,wikidata,village,Еленовское,,Yelenovskoye,,wd:Q4174710,RU-AD,45.10055556,39.70777778,Q4174709,,,79618415101,,active,,wikidata,,2026-09-15,
