id,type_code,lemma,yo,gender,paradigm,declinable,nom,gen,dat,acc,ins,pre,loc2,review,source
foiv:mvd,agency,МВД,,n,indecl,never,МВД,МВД,МВД,МВД,МВД,МВД,,gold,manual
foiv:mvd,agency,Министерство внутренних дел,,n,agency-head,always,Министерство внутренних дел,Министерства внутренних дел,Министерству внутренних дел,Министерство внутренних дел,Министерством внутренних дел,Министерстве внутренних дел,,gold,manual
foiv:mchs,agency,МЧС,,n,indecl,never,МЧС,МЧС,МЧС,МЧС,МЧС,МЧС,,gold,manual
foiv:mchs,agency,"Министерство Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",,n,agency-head,always,"Министерство Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий","Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий","Министерству Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий","Министерство Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий","Министерством Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий","Министерстве Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",,needs_review,manual
foiv:mid,agency,МИД,,n,indecl,never,МИД,МИД,МИД,МИД,МИД,МИД,,gold,manual
foiv:mid,agency,Министерство иностранных дел,,n,agency-head,always,Министерство иностранных дел,Министерства иностранных дел,Министерству иностранных дел,Министерство иностранных дел,Министерством иностранных дел,Министерстве иностранных дел,,gold,manual
foiv:rs,agency,Россотрудничество,,n,indecl,never,Россотрудничество,Россотрудничество,Россотрудничество,Россотрудничество,Россотрудничество,Россотрудничество,,gold,manual
foiv:rs,agency,"Федеральное агентство по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству",,n,agency-head,always,"Федеральное агентство по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству","Федерального агентства по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству","Федеральному агентству по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству","Федеральное агентство по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству","Федеральным агентством по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству","Федеральном агентстве по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству",,needs_review,manual
foiv:mod,agency,Минобороны,,n,indecl,never,Минобороны,Минобороны,Минобороны,Минобороны,Минобороны,Минобороны,,gold,manual
foiv:mod,agency,Министерство обороны,,n,agency-head,always,Министерство обороны,Министерства обороны,Министерству обороны,Министерство обороны,Министерством обороны,Министерстве обороны,,gold,manual
