id,type_code,lemma,yo,gender,paradigm,declinable,nom,gen,dat,acc,ins,pre,loc2,review,source
wd:Q41116,agoronym,Красная площадь,,,mixed_phrase,always,Красная площадь,,,,,,,needs_review,manual
wd:Q1132624,agoronym,Дворцовая площадь,,,mixed_phrase,always,Дворцовая площадь,,,,,,,needs_review,manual
wd:Q2352588,agoronym,Исаакиевская площадь,,,mixed_phrase,always,Исаакиевская площадь,,,,,,,needs_review,manual
wd:Q1633670,agoronym,Театральная площадь,,,mixed_phrase,always,Театральная площадь,,,,,,,needs_review,manual
wd:Q4365734,agoronym,Площадь Революции,,,mixed_phrase,always,Площадь Революции,,,,,,,needs_review,manual
wd:Q4221623,agoronym,Кировская площадь,,,mixed_phrase,always,Кировская площадь,,,,,,,needs_review,wikidata
wd:Q19907405,agoronym,Ржевская площадь,,,mixed_phrase,always,Ржевская площадь,,,,,,,needs_review,wikidata
wd:Q28667801,agoronym,Площадь Европы,,,mixed_phrase,always,Площадь Европы,,,,,,,needs_review,wikidata
wd:Q4133025,agoronym,Гамбургская площадь,,,mixed_phrase,always,Гамбургская площадь,,,,,,,needs_review,wikidata
wd:Q4309624,agoronym,Мытнинская площадь,,,mixed_phrase,always,Мытнинская площадь,,,,,,,needs_review,wikidata
wd:Q4230182,agoronym,Комсомольская площадь,,,mixed_phrase,always,Комсомольская площадь,,,,,,,needs_review,wikidata
wd:Q2618925,agoronym,Синий мост,,,mixed_phrase,always,Синий мост,,,,,,,needs_review,wikidata
wd:Q19618930,agoronym,Площадь Академика Лихачева,Площадь Академика Лихачёва,,mixed_phrase,always,Площадь Академика Лихачева,,,,,,,needs_review,wikidata
wd:Q4361176,agoronym,Петровская площадь (Санкт-Петербург),,,mixed_phrase,always,Петровская площадь (Санкт-Петербург),,,,,,,needs_review,wikidata
wd:Q4330111,agoronym,Обуховская площадь,,,mixed_phrase,always,Обуховская площадь,,,,,,,needs_review,wikidata
wd:Q4365501,agoronym,Площадь Балтийских Юнг,,,mixed_phrase,always,Площадь Балтийских Юнг,,,,,,,needs_review,wikidata
wd:Q4365781,agoronym,Площадь Советов (Улан-Удэ),,,mixed_phrase,always,Площадь Советов (Улан-Удэ),,,,,,,needs_review,wikidata
wd:Q138026635,agoronym,Площадь Ленина,,,mixed_phrase,always,Площадь Ленина,,,,,,,needs_review,wikidata
wd:Q4453524,agoronym,Театральная площадь,,,mixed_phrase,always,Театральная площадь,,,,,,,needs_review,wikidata
wd:Q21637197,agoronym,Вокзальная площадь,,,mixed_phrase,always,Вокзальная площадь,,,,,,,needs_review,wikidata
wd:Q16686564,agoronym,Площадь Труда,,,mixed_phrase,always,Площадь Труда,,,,,,,needs_review,wikidata
wd:Q4365502,agoronym,Площадь Балтийского вокзала,,,mixed_phrase,always,Площадь Балтийского вокзала,,,,,,,needs_review,wikidata
wd:Q21082444,agoronym,Площадь Ленина (Смоленск),,,mixed_phrase,always,Площадь Ленина (Смоленск),,,,,,,needs_review,wikidata
wd:Q55659099,agoronym,Площадь Героев 21-й Армии,,,mixed_phrase,always,Площадь Героев 21-й Армии,,,,,,,needs_review,wikidata
wd:Q16686551,agoronym,Площадь Военных Медиков,,,mixed_phrase,always,Площадь Военных Медиков,,,,,,,needs_review,wikidata
wd:Q4370796,agoronym,Полтавская площадь,,,mixed_phrase,always,Полтавская площадь,,,,,,,needs_review,wikidata
wd:Q2570082,agoronym,Соборная площадь,,,mixed_phrase,always,Соборная площадь,,,,,,,needs_review,wikidata
wd:Q4365486,agoronym,Площадь Академика Сахарова (Санкт-Петербург),,,mixed_phrase,always,Площадь Академика Сахарова (Санкт-Петербург),,,,,,,needs_review,wikidata
wd:Q4297030,agoronym,Миусская площадь,,,mixed_phrase,always,Миусская площадь,,,,,,,needs_review,wikidata
wd:Q18408020,agoronym,Площадь Академика Климова,,,mixed_phrase,always,Площадь Академика Климова,,,,,,,needs_review,wikidata
wd:Q4365508,agoronym,Площадь Борьбы,,,mixed_phrase,always,Площадь Борьбы,,,,,,,needs_review,wikidata
wd:Q98103122,agoronym,Площадь Шаумяна,,,mixed_phrase,always,Площадь Шаумяна,,,,,,,needs_review,wikidata
wd:Q55659448,agoronym,Софийская площадь (Санкт-Петербург),,,mixed_phrase,always,Софийская площадь (Санкт-Петербург),,,,,,,needs_review,wikidata
wd:Q20667112,agoronym,Технологическая площадь,,,mixed_phrase,always,Технологическая площадь,,,,,,,needs_review,wikidata
wd:Q16273386,agoronym,Площадь Ленина,,,mixed_phrase,always,Площадь Ленина,,,,,,,needs_review,wikidata
wd:Q28015526,agoronym,Площадь Собчака,,,mixed_phrase,always,Площадь Собчака,,,,,,,needs_review,wikidata
wd:Q137796779,agoronym,Площадь Республики,,,mixed_phrase,always,Площадь Республики,,,,,,,needs_review,wikidata
wd:Q30879240,agoronym,Площадь Фиделя Кастро,,,mixed_phrase,always,Площадь Фиделя Кастро,,,,,,,needs_review,wikidata
wd:Q2635909,agoronym,площадь Победы,,,mixed_phrase,always,площадь Победы,,,,,,,needs_review,wikidata
wd:Q4076666,agoronym,Балканская площадь,,,mixed_phrase,always,Балканская площадь,,,,,,,needs_review,wikidata
wd:Q16686555,agoronym,Площадь Дзержинского,,,mixed_phrase,always,Площадь Дзержинского,,,,,,,needs_review,wikidata
wd:Q19915930,agoronym,Площадь Академика Иоффе,,,mixed_phrase,always,Площадь Академика Иоффе,,,,,,,needs_review,wikidata
wd:Q4186201,agoronym,Заневская площадь,,,mixed_phrase,always,Заневская площадь,,,,,,,needs_review,wikidata
wd:Q4280367,agoronym,Манежная площадь (Санкт-Петербург),,,mixed_phrase,always,Манежная площадь (Санкт-Петербург),,,,,,,needs_review,wikidata
wd:Q4365490,agoronym,Площадь Александра Невского (Санкт-Петербург),,,mixed_phrase,always,Площадь Александра Невского (Санкт-Петербург),,,,,,,needs_review,wikidata
wd:Q28651388,agoronym,Площадь Академика Прохорова,,,mixed_phrase,always,Площадь Академика Прохорова,,,,,,,needs_review,wikidata
wd:Q116504971,agoronym,Николаевская площадь,,,mixed_phrase,always,Николаевская площадь,,,,,,,needs_review,wikidata
wd:Q21026911,agoronym,Витебская площадь,,,mixed_phrase,always,Витебская площадь,,,,,,,needs_review,wikidata
wd:Q18276001,agoronym,Площадь Братьев Стругацких,,,mixed_phrase,always,Площадь Братьев Стругацких,,,,,,,needs_review,wikidata
wd:Q4241659,agoronym,Кронштадтская площадь (Санкт-Петербург),,,mixed_phrase,always,Кронштадтская площадь (Санкт-Петербург),,,,,,,needs_review,wikidata
wd:Q4238418,agoronym,Красногвардейская площадь,,,mixed_phrase,always,Красногвардейская площадь,,,,,,,needs_review,wikidata
wd:Q48947338,agoronym,Октябрьская площадь,,,mixed_phrase,always,Октябрьская площадь,,,,,,,needs_review,wikidata
wd:Q4365505,agoronym,Площадь Белинского,,,mixed_phrase,always,Площадь Белинского,,,,,,,needs_review,wikidata
wd:Q4105633,agoronym,Введенского площадь (Фрязино),,,mixed_phrase,always,Введенского площадь (Фрязино),,,,,,,needs_review,wikidata
wd:Q19616122,agoronym,Ильинская площадь,,,mixed_phrase,always,Ильинская площадь,,,,,,,needs_review,wikidata
wd:Q19800755,agoronym,Дворцовая площадь (Москва),,,mixed_phrase,always,Дворцовая площадь (Москва),,,,,,,needs_review,wikidata
wd:Q16686559,agoronym,Площадь Льва Толстого,,,mixed_phrase,always,Площадь Льва Толстого,,,,,,,needs_review,wikidata
wd:Q4363142,agoronym,Пионерская площадь (Санкт-Петербург),,,mixed_phrase,always,Пионерская площадь (Санкт-Петербург),,,,,,,needs_review,wikidata
wd:Q110148624,agoronym,Ручьевская площадь,Ручьёвская площадь,,mixed_phrase,always,Ручьевская площадь,,,,,,,needs_review,wikidata
wd:Q21026968,agoronym,Семеновская площадь,Семёновская площадь,,mixed_phrase,always,Семеновская площадь,,,,,,,needs_review,wikidata
wd:Q4113256,agoronym,Владимирская площадь,,,mixed_phrase,always,Владимирская площадь,,,,,,,needs_review,wikidata
wd:Q4113255,agoronym,Владимирская площадь (Красноярск),,,mixed_phrase,always,Владимирская площадь (Красноярск),,,,,,,needs_review,wikidata
wd:Q4056123,agoronym,Австрийская площадь,,,mixed_phrase,always,Австрийская площадь,,,,,,,needs_review,wikidata
wd:Q4238770,agoronym,Красноказарменная площадь,,,mixed_phrase,always,Красноказарменная площадь,,,,,,,needs_review,wikidata
wd:Q116486783,agoronym,Никольская площадь,,,mixed_phrase,always,Никольская площадь,,,,,,,needs_review,wikidata
wd:Q4148740,agoronym,Греческая площадь (Санкт-Петербург),,,mixed_phrase,always,Греческая площадь (Санкт-Петербург),,,,,,,needs_review,wikidata
wd:Q65176090,agoronym,Площадь Европы,,,mixed_phrase,always,Площадь Европы,,,,,,,needs_review,wikidata
wd:Q16686561,agoronym,Площадь Свободы,,,mixed_phrase,always,Площадь Свободы,,,,,,,needs_review,wikidata
wd:Q4207726,agoronym,Казанская площадь,,,mixed_phrase,always,Казанская площадь,,,,,,,needs_review,wikidata
wd:Q110319509,agoronym,Площадь 60-летия Октября,,,mixed_phrase,always,Площадь 60-летия Октября,,,,,,,needs_review,wikidata
wd:Q21026962,agoronym,Площадь Сикорского,,,mixed_phrase,always,Площадь Сикорского,,,,,,,needs_review,wikidata
wd:Q116360228,agoronym,Троицкая площадь (Уфа),,,mixed_phrase,always,Троицкая площадь (Уфа),,,,,,,needs_review,wikidata
wd:Q3902462,agoronym,Площадь Искусств (Санкт-Петербург),,,mixed_phrase,always,Площадь Искусств (Санкт-Петербург),,,,,,,needs_review,wikidata
