id,type_code,lemma,yo,gender,paradigm,declinable,nom,gen,dat,acc,ins,pre,loc2,review,source
wd:Q649,city,Москва,,f,noun_f1,always,Москва,Москвы,Москве,Москву,Москвой,Москве,,gold,manual
wd:Q656,city,Санкт-Петербург,,m,noun_m2,always,Санкт-Петербург,Санкт-Петербурга,Санкт-Петербургу,Санкт-Петербург,Санкт-Петербургом,Санкт-Петербурге,,needs_review,manual
wd:Q883,city,Новосибирск,,m,noun_m2,always,Новосибирск,Новосибирска,Новосибирску,Новосибирск,Новосибирском,Новосибирске,,needs_review,manual
wd:Q887,city,Екатеринбург,,m,noun_m2,always,Екатеринбург,Екатеринбурга,Екатеринбургу,Екатеринбург,Екатеринбургом,Екатеринбурге,,needs_review,manual
wd:Q900,city,Казань,,f,noun_f3,always,Казань,Казани,Казани,Казань,Казанью,Казани,,needs_review,manual
wd:Q891,city,Нижний Новгород,,m,mixed_phrase,always,Нижний Новгород,Нижнего Новгорода,Нижнему Новгороду,Нижний Новгород,Нижним Новгородом,Нижнем Новгороде,,gold,manual
wd:Q906,city,Челябинск,,m,noun_m2,always,Челябинск,Челябинска,Челябинску,Челябинск,Челябинском,Челябинске,,needs_review,manual
wd:Q894,city,Самара,,f,noun_f1,always,Самара,Самары,Самаре,Самару,Самарой,Самаре,,needs_review,manual
wd:Q898,city,Омск,,m,noun_m2,always,Омск,Омска,Омску,Омск,Омском,Омске,,needs_review,manual
wd:Q908,city,Ростов-на-Дону,,m,mixed_phrase,always,Ростов-на-Дону,Ростова-на-Дону,Ростову-на-Дону,Ростов-на-Дону,Ростовом-на-Дону,Ростове-на-Дону,,needs_review,manual
wd:Q911,city,Уфа,,f,noun_f1,always,Уфа,Уфы,Уфе,Уфу,Уфой,Уфе,,needs_review,manual
wd:Q919,city,Красноярск,,m,noun_m2,always,Красноярск,Красноярска,Красноярску,Красноярск,Красноярском,Красноярске,,needs_review,manual
wd:Q3426,city,Воронеж,,m,noun_m2,always,Воронеж,Воронежа,Воронежу,Воронеж,Воронежом,Воронеже,,needs_review,manual
wd:Q915,city,Пермь,,f,noun_f3,always,Пермь,Перми,Перми,Пермь,Пермью,Перми,,needs_review,manual
wd:Q914,city,Волгоград,,m,noun_m2,always,Волгоград,Волгограда,Волгограду,Волгоград,Волгоградом,Волгограде,,needs_review,manual
wd:Q3646,city,Краснодар,,m,noun_m2,always,Краснодар,Краснодара,Краснодару,Краснодар,Краснодаром,Краснодаре,,needs_review,manual
wd:Q39420,city,Сочи,,m,indecl,never,Сочи,Сочи,Сочи,Сочи,Сочи,Сочи,,gold,manual
wd:Q3118,city,Орёл,Орёл,m,noun_m2,always,Орёл,Орла,Орлу,Орёл,Орлом,Орле,,gold,manual
wd:Q7947,city,Пушкин,,m,noun_m2,always,Пушкин,Пушкина,Пушкину,Пушкин,Пушкином,Пушкине,,gold,manual
wd:Q136435,city,Жуковский,,m,adj_m,always,Жуковский,Жуковского,Жуковскому,Жуковский,Жуковским,Жуковском,,gold,manual
wd:Q135410,city,Домодедово,,n,noun_n_ovo,optional,Домодедово,Домодедова,Домодедову,Домодедово,Домодедовом,Домодедове,,gold,manual
wd:Q5332,city,Саратов,,m,noun_m2,always,Саратов,Саратова,Саратову,Саратов,Саратовом,Саратове,,needs_review,manual
wd:Q5815,city,Тюмень,,f,noun_f3,always,Тюмень,Тюмени,Тюмени,Тюмень,Тюменью,Тюмени,,needs_review,manual
wd:Q1341,city,Тольятти,,m,indecl,never,Тольятти,Тольятти,Тольятти,Тольятти,Тольятти,Тольятти,,needs_review,manual
wd:Q5426,city,Ижевск,,m,noun_m2,always,Ижевск,Ижевска,Ижевску,Ижевск,Ижевском,Ижевске,,needs_review,manual
wd:Q6014,city,Барнаул,,m,noun_m2,always,Барнаул,Барнаула,Барнаулу,Барнаул,Барнаулом,Барнауле,,needs_review,manual
wd:Q5627,city,Ульяновск,,m,noun_m2,always,Ульяновск,Ульяновска,Ульяновску,Ульяновск,Ульяновском,Ульяновске,,needs_review,manual
wd:Q6576,city,Иркутск,,m,noun_m2,always,Иркутск,Иркутска,Иркутску,Иркутск,Иркутском,Иркутске,,needs_review,manual
wd:Q4454,city,Хабаровск,,m,noun_m2,always,Хабаровск,Хабаровска,Хабаровску,Хабаровск,Хабаровском,Хабаровске,,needs_review,manual
wd:Q2423,city,Ярославль,,m,noun_m2,always,Ярославль,Ярославля,Ярославлю,Ярославль,Ярославлем,Ярославле,,needs_review,manual
wd:Q959,city,Владивосток,,m,noun_m2,always,Владивосток,Владивостока,Владивостоку,Владивосток,Владивостоком,Владивостоке,,needs_review,manual
wd:Q5168,city,Махачкала,,f,noun_f1,always,Махачкала,Махачкалы,Махачкале,Махачкалу,Махачкалой,Махачкале,,needs_review,manual
wd:Q976,city,Томск,,m,noun_m2,always,Томск,Томска,Томску,Томск,Томском,Томске,,needs_review,manual
wd:Q5337,city,Оренбург,,m,noun_m2,always,Оренбург,Оренбурга,Оренбургу,Оренбург,Оренбургом,Оренбурге,,needs_review,manual
wd:Q6066,city,Кемерово,,n,noun_n_ovo,optional,Кемерово,Кемерова,Кемерову,Кемерово,Кемеровом,Кемерове,,needs_review,manual
wd:Q93910,city,Новокузнецк,,m,noun_m2,always,Новокузнецк,Новокузнецка,Новокузнецку,Новокузнецк,Новокузнецком,Новокузнецке,,needs_review,manual
wd:Q2746,city,Рязань,,f,noun_f3,always,Рязань,Рязани,Рязани,Рязань,Рязанью,Рязани,,needs_review,manual
wd:Q95041,city,Набережные Челны,,pl,pl_tantum,always,Набережные Челны,Набережных Челнов,Набережным Челнам,Набережные Челны,Набережными Челнами,Набережных Челнах,,needs_review,manual
wd:Q3927,city,Астрахань,,f,noun_f3,always,Астрахань,Астрахани,Астрахани,Астрахань,Астраханью,Астрахани,,needs_review,manual
wd:Q5540,city,Пенза,,f,noun_f1,always,Пенза,Пензы,Пензе,Пензу,Пензой,Пензе,,needs_review,manual
wd:Q3490,city,Липецк,,m,noun_m2,always,Липецк,Липецка,Липецку,Липецк,Липецком,Липецке,,needs_review,manual
wd:Q5384,city,Киров,,m,noun_m2,always,Киров,Кирова,Кирову,Киров,Кировом,Кирове,,needs_review,manual
wd:Q5470,city,Чебоксары,,pl,pl_tantum,always,Чебоксары,Чебоксар,Чебоксарам,Чебоксары,Чебоксарами,Чебоксарах,,needs_review,manual
wd:Q2770,city,Тула,,f,noun_f1,always,Тула,Тулы,Туле,Тулу,Тулой,Туле,,needs_review,manual
wd:Q1829,city,Калининград,,m,noun_m2,always,Калининград,Калининграда,Калининграду,Калининград,Калининградом,Калининграде,,needs_review,manual
wd:Q3159,city,Курск,,m,noun_m2,always,Курск,Курска,Курску,Курск,Курском,Курске,,needs_review,manual
wd:Q6816,city,Улан-Удэ,,m,indecl,never,Улан-Удэ,Улан-Удэ,Улан-Удэ,Улан-Удэ,Улан-Удэ,Улан-Удэ,,needs_review,manual
wd:Q5206,city,Ставрополь,,m,noun_m2,always,Ставрополь,Ставрополя,Ставрополю,Ставрополь,Ставрополем,Ставрополе,,needs_review,manual
wd:Q95449,city,Магнитогорск,,m,noun_m2,always,Магнитогорск,Магнитогорска,Магнитогорску,Магнитогорск,Магнитогорском,Магнитогорске,,needs_review,manual
wd:Q2288,city,Тверь,,f,noun_f3,always,Тверь,Твери,Твери,Тверь,Тверью,Твери,,needs_review,manual
wd:Q2630,city,Иваново,,n,noun_n_ovo,optional,Иваново,Иванова,Иванову,Иваново,Ивановом,Иванове,,needs_review,manual
