id,type_code,lemma,yo,gender,paradigm,declinable,nom,gen,dat,acc,ins,pre,loc2,review,source
fo:cfo,federal-district,Центральный федеральный округ,,m,mixed_phrase,always,Центральный федеральный округ,Центрального федерального округа,Центральному федеральному округу,Центральный федеральный округ,Центральным федеральным округом,Центральном федеральном округе,,gold,manual
fo:szfo,federal-district,Северо-Западный федеральный округ,,m,mixed_phrase,always,Северо-Западный федеральный округ,Северо-Западного федерального округа,Северо-Западному федеральному округу,Северо-Западный федеральный округ,Северо-Западным федеральным округом,Северо-Западном федеральном округе,,gold,manual
fo:ufo,federal-district,Южный федеральный округ,,m,mixed_phrase,always,Южный федеральный округ,Южного федерального округа,Южному федеральному округу,Южный федеральный округ,Южным федеральным округом,Южном федеральном округе,,gold,manual
fo:skfo,federal-district,Северо-Кавказский федеральный округ,,m,mixed_phrase,always,Северо-Кавказский федеральный округ,Северо-Кавказского федерального округа,Северо-Кавказскому федеральному округу,Северо-Кавказский федеральный округ,Северо-Кавказским федеральным округом,Северо-Кавказском федеральном округе,,gold,manual
fo:pfo,federal-district,Приволжский федеральный округ,,m,mixed_phrase,always,Приволжский федеральный округ,Приволжского федерального округа,Приволжскому федеральному округу,Приволжский федеральный округ,Приволжским федеральным округом,Приволжском федеральном округе,,gold,manual
fo:urfo,federal-district,Уральский федеральный округ,,m,mixed_phrase,always,Уральский федеральный округ,Уральского федерального округа,Уральскому федеральному округу,Уральский федеральный округ,Уральским федеральным округом,Уральском федеральном округе,,gold,manual
fo:sfo,federal-district,Сибирский федеральный округ,,m,mixed_phrase,always,Сибирский федеральный округ,Сибирского федерального округа,Сибирскому федеральному округу,Сибирский федеральный округ,Сибирским федеральным округом,Сибирском федеральном округе,,gold,manual
fo:dfo,federal-district,Дальневосточный федеральный округ,,m,mixed_phrase,always,Дальневосточный федеральный округ,Дальневосточного федерального округа,Дальневосточному федеральному округу,Дальневосточный федеральный округ,Дальневосточным федеральным округом,Дальневосточном федеральном округе,,gold,manual
iso:RU-AD,subject,Республика Адыгея,,f,mixed_phrase,not_with_generic,Республика Адыгея,Республики Адыгея,Республике Адыгея,Республику Адыгея,Республикой Адыгея,Республике Адыгея,,gold,manual
iso:RU-AL,subject,Республика Алтай,,f,mixed_phrase,not_with_generic,Республика Алтай,Республики Алтай,Республике Алтай,Республику Алтай,Республикой Алтай,Республике Алтай,,gold,manual
iso:RU-BA,subject,Республика Башкортостан,,f,mixed_phrase,not_with_generic,Республика Башкортостан,Республики Башкортостан,Республике Башкортостан,Республику Башкортостан,Республикой Башкортостан,Республике Башкортостан,,gold,manual
iso:RU-BU,subject,Республика Бурятия,,f,mixed_phrase,not_with_generic,Республика Бурятия,Республики Бурятия,Республике Бурятия,Республику Бурятия,Республикой Бурятия,Республике Бурятия,,gold,manual
iso:RU-DA,subject,Республика Дагестан,,f,mixed_phrase,not_with_generic,Республика Дагестан,Республики Дагестан,Республике Дагестан,Республику Дагестан,Республикой Дагестан,Республике Дагестан,,gold,manual
iso:RU-IN,subject,Республика Ингушетия,,f,mixed_phrase,not_with_generic,Республика Ингушетия,Республики Ингушетия,Республике Ингушетия,Республику Ингушетия,Республикой Ингушетия,Республике Ингушетия,,gold,manual
iso:RU-KB,subject,Кабардино-Балкарская Республика,,f,mixed_phrase,always,Кабардино-Балкарская Республика,Кабардино-Балкарской Республики,Кабардино-Балкарской Республике,Кабардино-Балкарскую Республику,Кабардино-Балкарской Республикой,Кабардино-Балкарской Республике,,gold,manual
iso:RU-KL,subject,Республика Калмыкия,,f,mixed_phrase,not_with_generic,Республика Калмыкия,Республики Калмыкия,Республике Калмыкия,Республику Калмыкия,Республикой Калмыкия,Республике Калмыкия,,gold,manual
iso:RU-KC,subject,Карачаево-Черкесская Республика,,f,mixed_phrase,always,Карачаево-Черкесская Республика,Карачаево-Черкесской Республики,Карачаево-Черкесской Республике,Карачаево-Черкесскую Республику,Карачаево-Черкесской Республикой,Карачаево-Черкесской Республике,,gold,manual
iso:RU-KR,subject,Республика Карелия,,f,mixed_phrase,not_with_generic,Республика Карелия,Республики Карелия,Республике Карелия,Республику Карелия,Республикой Карелия,Республике Карелия,,gold,manual
iso:RU-KO,subject,Республика Коми,,f,mixed_phrase,not_with_generic,Республика Коми,Республики Коми,Республике Коми,Республику Коми,Республикой Коми,Республике Коми,,gold,manual
iso:RU-ME,subject,Республика Марий Эл,,f,mixed_phrase,not_with_generic,Республика Марий Эл,Республики Марий Эл,Республике Марий Эл,Республику Марий Эл,Республикой Марий Эл,Республике Марий Эл,,gold,manual
iso:RU-MO,subject,Республика Мордовия,,f,mixed_phrase,not_with_generic,Республика Мордовия,Республики Мордовия,Республике Мордовия,Республику Мордовия,Республикой Мордовия,Республике Мордовия,,gold,manual
iso:RU-SA,subject,Республика Саха (Якутия),,f,mixed_phrase,not_with_generic,Республика Саха (Якутия),Республики Саха (Якутия),Республике Саха (Якутия),Республику Саха (Якутия),Республикой Саха (Якутия),Республике Саха (Якутия),,gold,manual
iso:RU-SE,subject,Республика Северная Осетия — Алания,,f,mixed_phrase,not_with_generic,Республика Северная Осетия — Алания,Республики Северная Осетия — Алания,Республике Северная Осетия — Алания,Республику Северная Осетия — Алания,Республикой Северная Осетия — Алания,Республике Северная Осетия — Алания,,gold,manual
iso:RU-TA,subject,Республика Татарстан,,f,mixed_phrase,not_with_generic,Республика Татарстан,Республики Татарстан,Республике Татарстан,Республику Татарстан,Республикой Татарстан,Республике Татарстан,,gold,manual
iso:RU-TY,subject,Республика Тыва,,f,mixed_phrase,not_with_generic,Республика Тыва,Республики Тыва,Республике Тыва,Республику Тыва,Республикой Тыва,Республике Тыва,,gold,manual
iso:RU-UD,subject,Удмуртская Республика,,f,mixed_phrase,always,Удмуртская Республика,Удмуртской Республики,Удмуртской Республике,Удмуртскую Республику,Удмуртской Республикой,Удмуртской Республике,,gold,manual
iso:RU-KK,subject,Республика Хакасия,,f,mixed_phrase,not_with_generic,Республика Хакасия,Республики Хакасия,Республике Хакасия,Республику Хакасия,Республикой Хакасия,Республике Хакасия,,gold,manual
iso:RU-CE,subject,Чеченская Республика,,f,mixed_phrase,always,Чеченская Республика,Чеченской Республики,Чеченской Республике,Чеченскую Республику,Чеченской Республикой,Чеченской Республике,,gold,manual
iso:RU-CU,subject,Чувашская Республика,,f,mixed_phrase,always,Чувашская Республика,Чувашской Республики,Чувашской Республике,Чувашскую Республику,Чувашской Республикой,Чувашской Республике,,gold,manual
iso:RU-ALT,subject,Алтайский край,,m,mixed_phrase,always,Алтайский край,Алтайского края,Алтайскому краю,Алтайский край,Алтайским краем,Алтайском крае,,gold,manual
iso:RU-ZAB,subject,Забайкальский край,,m,mixed_phrase,always,Забайкальский край,Забайкальского края,Забайкальскому краю,Забайкальский край,Забайкальским краем,Забайкальском крае,,gold,manual
iso:RU-KAM,subject,Камчатский край,,m,mixed_phrase,always,Камчатский край,Камчатского края,Камчатскому краю,Камчатский край,Камчатским краем,Камчатском крае,,gold,manual
iso:RU-KDA,subject,Краснодарский край,,m,mixed_phrase,always,Краснодарский край,Краснодарского края,Краснодарскому краю,Краснодарский край,Краснодарским краем,Краснодарском крае,,gold,manual
iso:RU-KYA,subject,Красноярский край,,m,mixed_phrase,always,Красноярский край,Красноярского края,Красноярскому краю,Красноярский край,Красноярским краем,Красноярском крае,,gold,manual
iso:RU-PER,subject,Пермский край,,m,mixed_phrase,always,Пермский край,Пермского края,Пермскому краю,Пермский край,Пермским краем,Пермском крае,,gold,manual
iso:RU-PRI,subject,Приморский край,,m,mixed_phrase,always,Приморский край,Приморского края,Приморскому краю,Приморский край,Приморским краем,Приморском крае,,gold,manual
iso:RU-STA,subject,Ставропольский край,,m,mixed_phrase,always,Ставропольский край,Ставропольского края,Ставропольскому краю,Ставропольский край,Ставропольским краем,Ставропольском крае,,gold,manual
iso:RU-KHA,subject,Хабаровский край,,m,mixed_phrase,always,Хабаровский край,Хабаровского края,Хабаровскому краю,Хабаровский край,Хабаровским краем,Хабаровском крае,,gold,manual
iso:RU-AMU,subject,Амурская область,,f,mixed_phrase,always,Амурская область,Амурской области,Амурской области,Амурскую область,Амурской областью,Амурской области,,gold,manual
